,price,brand,year,mileage
390,3900,acura,2009,288636.901
391,0,cadillac,2000,169216.921
392,3830,ford,2015,132797.206
393,53500,ford,2017,89672.788
394,25,ford,2010,319540.964
395,25,ford,1998,482733.789
396,6240,honda,2015,134549.407
397,4150,jeep,2014,175212.055
398,25,jeep,1999,365197.948
399,61200,bmw,2020,12081.981
400,0,buick,2006,221179.576
401,13500,bmw,2014,53969.078
402,6490,ford,2015,120279.186
403,51502,ford,2017,44506.549
404,250,ford,2010,185422.769
405,25,ford,1984,66897.393
406,8160,honda,2015,175424.443
407,7770,jeep,2014,117025.788
408,200,jeep,2001,203377.6
409,25,audi,2008,285471.998
410,0,chevrolet,1995,442001.95399999997
411,1825,bmw,2008,125476.256
412,39800,bmw,2017,37291.793
413,9210,ford,2015,43299.799
414,58500,ford,2019,34636.943
415,125,ford,2014,90845.749
416,3960,honda,2015,153060.952
417,5998,hyundai,2014,197866.775
418,3700,honda,2014,261983.816
419,0,kia,2008,238876.967
420,0,audi,2005,292670.664
421,0,bmw,2000,348601.113
422,5000,gmc,2012,225805.451
423,15050,infiniti,2019,43098.674
424,3960,hyundai,2019,57317.407
425,36300,lincoln,2019,23396.469
426,55600,lexus,2020,13171.274
427,2630,nissan,2018,59113.051
428,5690,nissan,2017,68569.144
429,19500,audi,2017,105925.297
430,450,chevrolet,2008,198735.635
431,20400,cadillac,2015,58120.298
432,4320,chevrolet,2011,142169.631
433,33001,ford,2017,57771.145
434,10000,ford,2017,57516.923
435,0,ford,2004,268720.699
436,5790,gmc,2012,168977.18
437,14750,infiniti,2019,17774.623
438,4010,hyundai,2019,50253.897
439,40000,mercedes-benz,2019,31258.043
440,13000,kia,2017,115833.519
441,3550,nissan,2018,46730.187
442,3040,nissan,2017,58026.976
443,0,chevrolet,2008,434558.72
444,36400,audi,2015,75965.717
445,4480,ford,2011,187416.32
446,31003,ford,2017,115983.156
447,75,ford,2001,475910.02
448,8850,gmc,2011,238188.315
449,14750,infiniti,2019,18336.164
450,4690,hyundai,2019,54360.065
451,23000,land,2018,32345.727
452,46900,land,2018,52110.683
453,10740,mercedes-benz,2018,77457.26
454,3160,nissan,2017,56091.349
455,0,chevrolet,2006,431276.36
456,3450,chrysler,2011,183617.471
457,27102,ford,2017,54971.485
458,500,gmc,2018,44154.178
459,5100,gmc,2011,232970.328
460,15010,infiniti,2019,18332.946
461,5800,jeep,2019,49148.514
462,23200,land,2018,38205.705
463,8000,hyundai,2015,142032.866
464,3390,nissan,2018,61703.541
465,3140,nissan,2017,48498.478
466,25,chevrolet,2007,430944.906
467,15000,bmw,2014,71970.56999999999
468,10440,chevrolet,2011,148793.884
469,23911,ford,2017,41348.082
470,25,ford,2010,249784.378
471,21400,gmc,2018,87420.188
472,5380,gmc,2011,191816.935
473,11000,jeep,2019,14368.369999999999
474,4950,jeep,2019,75598.865
475,22500,land,2018,48623.98
476,30300,maserati,2017,59566.789
477,2630,nissan,2018,69431.568
478,3140,nissan,2017,55217.662
479,2300,chevrolet,2011,142053.783
480,4310,chevrolet,2011,169726.974
481,26012,ford,2017,31938.65
482,75,ford,2014,187504.815
483,48500,gmc,2019,25385.193
484,3330,gmc,2009,140703.832
485,11200,jeep,2019,13507.555
486,4730,hyundai,2019,48464.689
487,24900,mercedes-benz,2018,54202.383
488,29400,mercedes-benz,2017,60435.649
489,8350,nissan,2018,51899.904
490,475,peterbilt,2012,1451383.969
491,3210,nissan,2017,40635.295
492,25,chevrolet,2006,266011.143
493,4200,chevrolet,2006,189876.481
494,8430,chevrolet,2011,184306.123
495,25503,ford,2017,30003.023
496,0,ford,1996,406414.092
497,26000,gmc,2019,26820.421
498,3900,honda,2017,77183.73
499,11200,jeep,2019,20764.145
500,8610,jeep,2019,35595.907
501,28000,mercedes-benz,2018,65615.02
502,84900,mercedes-benz,2017,40710.918
503,10840,lexus,2017,58882.964
504,100,peterbilt,2012,0.0
505,11050,ram,2017,48947.389
506,0,chevrolet,2012,217115.242
507,1000,chevrolet,2005,218301.075
508,3570,dodge,2015,27924.195
509,25001,ford,2017,44686.757
510,0,ford,2010,139727.169
511,5630,gmc,2017,93910.894
512,11100,jeep,2019,18067.461
513,4650,hyundai,2019,44234.628
514,0,lincoln,2005,144335.345
515,3820,nissan,2016,67021.286
516,0,peterbilt,2009,1580819.974
517,2900,nissan,2017,51413.986
518,50,chevrolet,2008,276912.118
519,5100,chevrolet,2004,278873.489
520,4700,dodge,2015,150317.607
521,29502,ford,2017,22611.277
522,0,ford,2008,234082.147
523,6160,honda,2017,41763.204
524,10910,jeep,2019,19715.077
525,3440,hyundai,2019,56146.055
526,16000,mazda,2016,76834.577
527,3810,kia,2016,63407.472
528,1025,peterbilt,2010,1637859.024
529,3020,nissan,2017,54060.791
530,0,chevrolet,2003,313228.857
531,2000,chevrolet,2003,817347.865
532,3870,ford,2010,299246.647
533,24811,ford,2017,45798.576
534,75,ford,2007,249377.301
535,5420,honda,2017,26873.518
536,11100,jeep,2019,18421.441
537,4750,hyundai,2019,41587.823
538,17900,mercedes-benz,2015,80083.148
539,3800,nissan,2015,135019.235
540,3160,nissan,2017,64852.354
541,25,chevrolet,2010,240045.101
542,1200,chevrolet,2001,240614.687
543,6470,chevrolet,2010,112021.798
544,26400,ford,2017,58398.655
546,32500,gmc,2018,23903.304
547,6900,honda,2017,71003.561
548,11030,jeep,2019,17475.349
549,3460,hyundai,2012,228648.554
550,18000,mercedes-benz,2015,132599.299
551,3250,hyundai,2015,179583.70799999998
